LECROYWR640Zi,60762,Waveform
Segments,1,SegmentSize,402
Segment,TrigTime,TimeSinceSegment1
#1,11-Oct-2021 10:06:28,0                 
Time,Ampl
2.63503e-009,0.0149121
2.66003e-009,0.0166697
2.68503e-009,0.0179879
2.71003e-009,0.0177682
2.73503e-009,0.0167795
2.76003e-009,0.0162303
2.78503e-009,0.0168344
2.81003e-009,0.0181526
2.83503e-009,0.0181526
2.86003e-009,0.0152142
2.88503e-009,0.010216
2.91003e-009,0.00477846
2.93503e-009,0.000851334
2.96003e-009,-8.23872e-005
2.98503e-009,0.0018949
3.01003e-009,0.00557486
3.03503e-009,0.0101336
3.06003e-009,0.0139784
3.08503e-009,0.0155986
3.11003e-009,0.0148297
3.13503e-009,0.0125503
3.16003e-009,0.00994138
3.18503e-009,0.00843095
3.21003e-009,0.00887035
3.23503e-009,0.0104632
3.26003e-009,0.0122757
3.28503e-009,0.013896
3.31003e-009,0.0146649
3.33503e-009,0.0145276
3.36003e-009,0.0137037
3.38503e-009,0.0120011
3.41003e-009,0.00958437
3.43503e-009,0.00749723
3.46003e-009,0.00700291
3.48503e-009,0.00870558
3.51003e-009,0.0118638
3.53503e-009,0.0147748
3.56003e-009,0.0158458
3.58503e-009,0.0143079
3.61003e-009,0.0109026
3.63503e-009,0.00719515
3.66003e-009,0.00392712
3.68503e-009,0.00197729
3.71003e-009,0.002554
3.73503e-009,0.00562979
3.76003e-009,0.0100787
3.78503e-009,0.0145825
3.81003e-009,0.0169992
3.83503e-009,0.0160106
3.86003e-009,0.013127
3.88503e-009,0.0104906
3.91003e-009,0.00922736
3.93503e-009,0.00972169
3.96003e-009,0.0113145
3.98503e-009,0.0126052
4.01003e-009,0.0133742
4.03503e-009,0.0140882
4.06003e-009,0.0146649
4.08503e-009,0.0146924
4.11003e-009,0.0146375
4.13503e-009,0.015324
4.16003e-009,0.0169168
4.18503e-009,0.0187568
4.21003e-009,0.0192786
4.23503e-009,0.0168619
4.26003e-009,0.0125503
4.28503e-009,0.00930975
4.31003e-009,0.00936467
4.33503e-009,0.0122757
4.36003e-009,0.0154064
4.38503e-009,0.0159007
4.41003e-009,0.0129897
4.43503e-009,0.00837603
4.46003e-009,0.00439398
4.48503e-009,0.00222445
4.51003e-009,0.00181252
4.53503e-009,0.00291101
4.56003e-009,0.00527278
4.58503e-009,0.00834857
4.61003e-009,0.0113969
4.63503e-009,0.0130446
4.66003e-009,0.0123581
4.68503e-009,0.00999631
4.71003e-009,0.00755216
4.73503e-009,0.00637127
4.76003e-009,0.00645366
4.78503e-009,0.00656351
4.81003e-009,0.00568471
4.83503e-009,0.00439398
4.86003e-009,0.00447637
4.88503e-009,0.00681067
4.91003e-009,0.0106005
4.93503e-009,0.013841
4.96003e-009,0.0149945
